,ENGLISH,GERMAN
129,hit tom,schlagen sie tom
130,hold on,warten sie kurz
131,hug tom,umarme tom
132,hug tom,umarmen sie tom
133,hug tom,umarmt tom
134,hug tom,druckt tom
135,hug tom,drucken sie tom
136,hug tom,druck tom
137,i agree,ich bin einverstanden
138,ill go,ich gehe
139,im fat,ich bin fett
140,im fat,ich bin dick
141,im old,ich bin alt
142,im sad,ich bin traurig
143,im shy,ich bin schuchtern
144,its me,ich bins
145,its me,ich bins
146,kiss me,kusst mich
147,lock it,schlie es ab
148,lock it,schliee sie ab
149,lock it,schlie ihn ab
150,perfect,perfekt
151,show me,zeigs mir
152,shut up,halts maul
153,so long,bis spater
154,take it,nimm es
155,take it,nehmt es
156,take it,nehmen sie es
157,tom ate,tom a
158,tom ate,tom hat gegessen
159,tom ran,tom rannte
160,tom ran,tom ist gerannt
161,tom won,tom hat gewonnen
162,wait up,warte mal
163,wait up,warten sie mal
164,wait up,wartet mal
165,wake up,wach auf
166,wake up,wachen sie auf
167,wake up,wach auf
168,wake up,wachen sie auf
169,welcome,willkommen
170,who ate,wer hat gegessen
171,who ate,wer a
172,who ran,wer rannte
173,who ran,wer ist gerannt
174,you run,du laufst
175,you run,sie laufen
176,you won,du hast gewonnen
177,am i fat,bin ich dick
178,ask them,frag sie
179,back off,komm nicht naher
180,be a man,sei ein mann
181,be brave,sei tapfer
182,be brave,seien sie tapfer
183,be brave,seid tapfer
184,be brief,fassen sie sich kurz
185,be brief,fass dich kurz
186,be brief,fasst euch kurz
187,call tom,ruf tom an
188,call tom,rufe tom an
189,call tom,rufen sie tom an
190,call tom,ruft tom an
191,cheer up,kopf hoch
192,cool off,reg dich ab
193,cuff him,leg ihm handschellen an
194,cuff him,legen sie ihm handschellen an
195,dont go,geh nicht
196,find tom,finde tom
197,find tom,findet tom
198,find tom,finden sie tom
199,get away,geh weg
200,get away,verpiss dich
201,get away,hau ab
202,get away,verschwinde
203,get away,verdufte
204,get away,mach dich fort
205,get away,zieh leine
206,get away,mach dich vom acker
207,get away,verzieh dich
208,get away,verkrumele dich
209,get away,troll dich
210,get away,zisch ab
211,get away,pack dich
212,get away,mach ne fliege
213,get away,schwirr ab
214,get away,mach die sause
215,get away,scher dich weg
216,get away,scher dich fort
217,get down,komm runter
218,get down,kommen sie runter
219,get lost,geh weg
220,get lost,verpiss dich
221,get lost,hau ab
222,get lost,verschwinde
223,get lost,verdufte
224,get lost,mach dich fort
225,get lost,zieh leine
226,get lost,mach dich vom acker
227,get lost,verzieh dich
228,get lost,verkrumele dich
229,get lost,troll dich
230,get lost,zisch ab
231,get lost,pack dich
232,get lost,mach ne fliege
233,get lost,schwirr ab
234,get lost,mach die sause
235,get lost,scher dich weg
236,get lost,scher dich fort
237,get real,jetzt mal ernsthaft
238,go ahead,nur zu
239,go ahead,mach weiter
240,grab him,greif ihn dir
241,have fun,viel vergnugen
242,have fun,viel spa
243,have fun,feier schon
244,he spoke,er sprach
245,he tries,er versucht es
246,help tom,hilf tom
247,help tom,helft tom
248,help tom,helfen sie tom
249,how cute,was ist das nicht su
250,how cute,wie su
251,how deep,wie tief
252,humor me,tu mir den gefallen
253,humor me,tun sie mir den gefallen
254,hurry up,beeil dich
255,hurry up,beeil dich
256,hurry up,mach hin
257,i am fat,ich bin dick
258,i can go,ich kann gehen
259,i did it,ich habs gemacht
260,i got it,ich habe es verstanden
261,i got it,ich habe es bekommen
262,i got it,ich habs
263,i refuse,ich weigere mich
264,i resign,ich trete zuruck
265,i smiled,ich lachelte
266,i stayed,ich blieb
267,i stayed,ich bin dageblieben
268,i use it,ich benutze es
269,i waited,ich habe gewartet
270,ill pay,ich werde zahlen
271,im back,ich bin wieder da
272,im bald,ich bin glatzkopfig
273,im bald,ich habe eine glatze
274,im busy,ich bin beschaftigt
275,im busy,ich habe zu tun
276,im fine,mir gehts gut
277,im fine,mir geht es gut
278,im fine,es geht mir gut
279,im free,ich bin frei
280,im full,ich bin satt
281,im game,ich bin dabei
282,im game,ich mache mit
283,im here,ich bin hier
284,im late,ich komme zu spat
285,im okay,es geht mir gut
286,im rich,ich bin reich
287,im sick,ich bin krank
288,im tall,ich bin gro
289,im ugly,ich bin hasslich
290,im weak,ich bin schwach
291,im well,mir geht es gut
292,it helps,das hilft
293,it hurts,es tut weh
294,it hurts,es schmerzt
295,it works,es klappt
296,its hot,es ist hei
297,its new,es ist neu
298,its sad,es ist traurig
299,keep out,eintritt verboten
300,keep out,komm nicht herein
301,keep out,kein zutritt
302,kiss tom,kusse tom
303,kiss tom,kussen sie tom
304,kiss tom,kusst tom
305,leave us,geh weg
306,leave us,gehen sie weg
307,leave us,lass uns allein
308,leave us,lassen sie uns allein
309,lets go,lass uns gehen
310,lets go,auf gehts
311,lets go,gehen wir
312,lets go,lasst uns gehen
313,lets go,lass uns losgehen
314,lets go,lasst uns losgehen
315,lets go,auf auf
316,look out,vorsicht
317,marry me,heirate mich
318,may i go,darf ich gehen
319,save tom,rette tom
320,save tom,rettet tom
321,save tom,retten sie tom
322,she came,sie kam
323,she lied,sie log
324,she runs,sie rennt
325,sit down,setz dich
326,sit down,setzen sie sich
327,sit down,setz dich
328,speak up,sprich lauter
329,stand up,stehen sie auf
330,stand up,steht auf
331,stand up,stehe auf
332,stop tom,halte tom auf
333,stop tom,halten sie tom auf
334,stop tom,haltet tom auf
335,take tom,nimm tom
336,tell tom,sag es tom
337,tell tom,sagen sie es tom
338,tell tom,erzahl es tom
339,tell tom,erzahlen sie tom davon
340,tell tom,sagt es tom
341,terrific,hervorragend
342,terrific,sagenhaft
343,terrific,wunderbar
344,they won,sie haben gewonnen
345,tom came,tom kam
346,tom came,tom ist gekommen
347,tom died,tom starb
348,tom fell,tom fiel
349,tom fell,tom ist gefallen
350,tom knew,tom wusste es
351,tom knew,tom hat es gewusst
352,tom knew,tom wusste bescheid
353,tom left,tom ist gegangen
354,tom left,tom ging
355,tom lied,tom log
356,tom lies,tom lugt
357,tom lost,tom hat verloren
358,tom paid,tom hat gezahlt
359,tom quit,tom hat aufgehort
360,tom swam,tom schwamm
361,tom swam,tom ist geschwommen
362,tom wept,tom weinte
363,too late,zu spat
364,trust me,vertraue mir
365,trust me,vertraut mir
366,trust me,vertrauen sie mir
367,try hard,versuch es richtig
368,use this,nimm das hier
369,warn tom,warnen sie tom
370,warn tom,warne tom
371,watch us,beobachte uns
372,watch us,beobachten sie uns
373,watch us,schau mir zu
374,watch us,schauen sie mir zu
375,we agree,wir stimmen zu
376,we agree,wir sind einverstanden
377,we tried,wir haben es versucht
378,we tried,wir versuchten es
379,well go,wir gehen
380,well go,wir werden gehen
381,what for,wozu
382,what fun,was fur ein spa
383,who am i,wer bin ich
384,who came,wer ist gekommen
385,who came,wer kam
386,who died,wer ist gestorben
387,who fell,wer fiel
388,who fell,wer ist gefallen
389,who quit,wer hat aufgehort
390,who quit,wer ist ausgeschieden
391,who swam,wer schwamm
392,who swam,wer ist geschwommen
393,whos he,wer ist er
394,write me,schreib mir
395,write me,schreiben sie mir
396,write me,schreibt mir
397,am i late,bin ich zu spat
398,answer me,antworten sie mir
399,birds fly,vogel fliegen
400,bless you,gesundheit
401,call home,ruf zuhause an
402,call home,rufen sie zuhause an
403,calm down,beruhige dich
404,calm down,beruhige dich
405,calm down,beruhigen sie sich
406,calm down,beruhigen sie sich
407,can i eat,kann ich essen
408,can we go,konnen wir gehen
409,catch tom,fang tom
410,catch tom,fange tom
411,catch tom,fangen sie tom
412,catch tom,fangt tom
413,chill out,entspann dich
414,come back,komm wieder
415,come here,komm hierher
416,come here,komm her
417,come home,kommt heim
418,come home,komm heim
419,come over,komm hierher
420,come soon,komm bald
421,come soon,kommen sie bald
422,cool down,beruhige dich
423,did i win,habe ich gewonnen
424,do it now,mach es jetzt
425,dogs bark,hunde bellen
426,dont ask,frag nicht
427,dont cry,weine nicht
428,dont cry,weint nicht
429,dont cry,weinen sie nicht
430,dont cry,weinen sie nicht
431,dont cry,weint nicht
432,dont die,stirb nicht
433,dont lie,luge nicht
434,excuse me,es tut mir leid
435,excuse me,entschuldigung
436,excuse me,entschuldigung
437,excuse me,entschuldigen sie
438,fantastic,fantastisch
439,fantastic,ganz toll
440,follow me,folge mir
441,forget it,vergiss es
442,forget it,daraus wird nichts
443,forget it,vergiss es
444,forget it,das kannst du knicken
445,go get it,hols dir
446,go inside,geh rein
447,go inside,komm rein
448,go to bed,geh schlafen
449,go to bed,geh ins bett
450,go to bed,geht ins bett
451,go to bed,legt euch schlafen
452,hands off,hande weg
453,have some,nimm dir davon
454,have some,nehmen sie davon
455,he is ill,er ist krank
456,he is old,er ist alt
457,hes a dj,er ist dj
458,hes a dj,er ist plattenaufleger
459,hes fast,er ist schnell
460,hes good,er ist gut
461,hes lazy,er ist trage
462,hes rich,er ist reich
463,here i am,hier bin ich
464,heres,hier sind funf dollar
465,hold fire,nicht schieen
466,hold this,halt das
467,hold this,halt das mal
468,hold this,halten sie das
469,hold this,haltet das
470,how awful,schrecklich
471,how is it,wie ist die lage
472,how weird,wie seltsam
473,i am busy,ich bin beschaftigt
474,i am busy,ich habe zu tun
475,i am fine,mir geht es gut
476,i am fine,es geht mir gut
477,i am here,ich bin hier
478,i am okay,es geht mir gut
479,i am sure,ich bin sicher
480,i am tall,ich bin gro
481,i am weak,ich bin schwach
482,i am well,mir geht es gut
483,i am well,es geht mir gut
484,i can fly,ich kann fliegen
485,i can run,ich kann laufen
486,i can run,ich kann rennen
487,i can ski,ich kann ski fahren
488,i fainted,ich wurde ohnmachtig
489,i fainted,ich fiel in ohnmacht
490,i fear so,ich furchte ja
491,i get you,ich verstehe was du meinst
492,i hope so,das hoffe ich
493,i hope so,ich hoffe es
494,i knew it,ich wusste es
495,i knew it,ich wusste das
496,i laughed,ich lachte
497,i like it,das gefallt mir
498,i mean it,ich meine es so
499,i mean it,ich meine es ernst
500,i mean it,ich meine es ernst
501,i mean it,es ist ernst gemeint von mir
502,i met him,ich habe ihn getroffen
503,i promise,ich versprechs
504,i promise,ich verspreche es
505,i saw him,ich habe ihn gesehen
506,i saw you,ich habe dich gesehen
507,i saw you,ich habe euch gesehen
508,i was shy,ich war schuchtern
509,i woke up,ich wachte auf
510,ill live,ich werde leben
511,ill sing,ich werde singen
512,im a man,ich bin ein mann
513,im angry,ich bin sauer
514,im awake,ich bin wach
515,im bored,ich bin gelangweilt
516,im bored,mir ist langweilig
517,im broke,ich bin knapp bei kasse
518,im broke,ich bin pleite
519,im dying,ich werde bald sterben
520,im going,ich gehe jetzt
521,im happy,ich bin glucklich
522,im happy,ich bin froh
523,im ready,ich bin soweit
524,im ready,ich bin soweit
525,im right,ich habe recht
526,im right,ich habe recht
527,im sober,ich bin nuchtern
528,im sorry,es tut mir leid
529,im sorry,entschuldigung
530,im tired,ich bin mude
531,im tired,ich bin mude
532,im upset,ich bin verargert
533,im upset,ich bin besturzt
534,ignore it,beachte es gar nicht
535,ignore it,beachten sie es gar nicht
536,is tom in,ist tom da
537,is it bad,ist es schlimm
538,is it far,ist das weit
539,is it hot,ist es hei
540,is it new,ist es neu
541,it burned,es brannte
542,it burned,es verbrannte
543,it snowed,es hat geschneit
544,it worked,es hat geklappt
545,its,es ist halb vier
546,its,es ist uhr
547,its,es ist sieben uhr funfundvierzig
548,its,es ist viertel nach neun
549,its,es ist
550,its a tv,das ist ein fernseher
551,its cold,es ist kalt
552,its cool,es ist kuhl
553,its dark,es ist dunkel
554,its easy,das ist einfach
555,its easy,es ist einfach
556,its free,es ist frei
557,its hard,das ist hart
558,its late,es ist spat
559,its mine,es ist meins
560,its open,es ist geoffnet
561,its ours,es ist unsers
562,its true,es ist wahr
563,its work,es ist arbeit
564,its work,das ist meine arbeit
565,jump down,spring runter
566,keep away,bleib weg
567,keep away,bleibt weg
568,keep away,bleiben sie weg
569,keep back,bleiben sie zuruck
570,keep cool,bleib gelassen
571,keep that,behalts
572,keep them,behalte sie
573,keep them,behalten sie sie
574,keep them,behaltet sie
575,keep warm,halt dich warm
576,keep warm,haltet euch warm
577,keep warm,halten sie sich warm
578,leave tom,verlasse tom
579,leave tom,verlassen sie tom
580,leave now,geh jetzt
581,leave now,geht jetzt
582,let it be,lass es sein
583,let it be,lass es bleiben
584,let me be,lass mich in ruhe
585,let me go,lassen sie mich gehen
586,let me go,lass mich gehen
587,let me in,lass mich herein
588,lets eat,essen wir etwas
589,lets see,schauen wir mal
590,lets try,lasst es uns versuchen
591,lets try,lass es uns versuchen
592,lets try,lass es uns probieren
593,lie still,lieg still und beweg dich nicht
594,look back,schau nach hinten
595,loosen it,dreh es auf
596,loosen up,mach dich locker
597,move over,rutsch mal ein stuck
598,nice shot,guter schuss
599,of course,naturlich
600,of course,selbstverstandlich
601,of course,auf jeden fall
602,of course,na klar
603,of course,aber sicher doch
604,please go,bitte geh
605,please go,bitte geht
606,please go,bitte gehen sie
607,put it on,setz es auf
608,put it on,tu es drauf
609,put it on,setz ihn auf
610,put it on,zieh sie an
611,put it on,setz sie auf
612,put it on,setz sie dir auf
613,put it on,zieh sie dir an
614,put it on,setz ihn dir auf
615,read this,lies das hier
616,say aah,sag ah
617,see below,siehe unten
618,seriously,wirklich
619,seriously,echt
620,seriously,ernsthaft
621,seriously,im ernst
622,she cried,sie weinte
623,sign here,unterschreibe hier
624,sign here,unterschreiben sie hier
625,sign this,unterschreiben sie das
626,sign this,unterschreib das
627,sit still,sitz still
628,sit still,sitzen sie still
629,sit tight,harre aus
630,start now,beginnen sie jetzt
631,start now,fang jetzt an
632,stay back,bleibt zuruck
633,stay calm,bleib ruhig
634,stay calm,bleiben sie ruhig
635,stay cool,bleib ruhig
636,stay cool,bleibt ruhig
637,stay cool,bleiben sie ruhig
638,stay cool,bleib cool
639,stay cool,bleibt cool
640,stay down,bleib unten
641,stay down,bleib unten
642,stay thin,bleiben sie dunn
643,stay thin,bleib dunn
644,step back,tritt zuruck
645,stop that,lass das
646,stop that,hor auf damit
647,stop that,hor mal auf
648,stop that,hor mal auf damit
649,stop them,stopp sie
650,stop them,stoppen sie sie
651,take care,pass auf dich auf
652,take care,machs gut
653,take mine,nimm meins
654,take mine,nimm meine
655,take mine,nimm meinen
656,take mine,nehmt meins
657,take mine,nehmt meine
658,take mine,nehmt meinen
659,take mine,nehmen sie meins
660,take mine,nehmen sie meinen
661,take mine,nehmen sie meine
662,take over,ubernimm du
663,take over,ubernehmt ihr
664,take over,ubernehmen sie
665,thank you,danke
666,thats it,das wars
667,thats me,das bin ich
668,thats me,ich bin jetzt fertig
669,then what,na und
670,they fell,sie fielen
671,they fell,sie sturzten
672,they lied,sie haben gelogen
673,they lost,sie verloren
674,they lost,sie haben verloren
675,they swam,sie schwammen
676,tom bowed,tom verneigte sich
677,tom cried,tom weinte
678,tom dozed,tom doste
679,tom drove,tom fuhr
680,tom knits,tom strickt
681,tom knows,tom wei es
682,tom moved,tom bewegte sich
683,tom spoke,tom hat gesprochen
684,tom spoke,tom sprach
685,tom swims,tom schwimmt
686,tom tried,tom versuchte es
687,tom tried,tom hat es versucht
688,tom tries,tom versucht es
689,tom voted,tom hat gewahlt
690,tom voted,tom wahlte
691,tom walks,tom geht zu fu
692,tom waved,tom winkte
693,tom works,tom arbeitet
694,tomll go,tom wird gehen
695,toms mad,tom ist wutend
696,toms sad,tom ist traurig
697,toms shy,tom ist schuchtern
698,trust tom,vertraue tom
699,trust tom,vertrauen sie tom
700,trust tom,vertraut tom
701,try again,versuchen sie es noch einmal
702,try again,versuch es noch einmal
703,try again,versucht es noch mal
704,try it on,probier es an
705,try it on,probier sie an
706,try it on,probier ihn an
707,watch tom,sieh tom zu
708,watch tom,sehen sie tom zu
709,watch tom,seht tom zu
710,we agreed,wir waren uns einig
711,we agreed,wir stimmten zu
712,we saw it,wir sahen es
713,we saw it,wir haben es gesehen
714,we waited,wir warteten
715,well see,wir werden sehen
716,well try,wir werden es versuchen
717,well win,wir werden siegen
718,weve won,wir haben gewonnen
719,what else,was noch
720,whats on,was ist los
721,whats up,was ist los
722,whats up,na wie gehts
723,who cares,wen kummerts
724,who cares,wen kummert das schon
725,who is he,wer ist er
726,who spoke,wer hat gesprochen
727,who spoke,wer sprach
728,wholl go,wer geht
729,wholl go,wer wird gehen
730,whos she,wer ist sie
731,wonderful,wunderbar
732,wonderful,herrlich
733,write tom,schreibe tom
734,write tom,schreiben sie tom
735,write tom,schreibt tom
736,you drive,du fahrst
737,you drive,sie fahren
738,you idiot,du idiot
739,you start,du fangst an
740,you stink,du stinkst
741,you stink,ihr stinkt
742,you stink,sie stinken
743,you tried,du hasts versucht
744,all aboard,alle mann an bord
745,am i right,habe ich recht
746,am i right,liege ich richtig
747,am i wrong,hab ich nicht recht
748,am i wrong,irre ich mich
749,answer tom,antworte tom
750,answer tom,antworten sie tom
751,answer tom,antwortet tom
752,are you ok,geht es dir gut
753,are you ok,geht es euch gut
754,are you ok,geht es ihnen gut
755,be careful,sei vorsichtig
756,be careful,sieh dich vor
757,be careful,gib obacht
758,be careful,gib acht
759,be careful,gib acht
760,be serious,bleib mal auf dem boden der tatsachen
761,birds sing,vogel singen
762,bring wine,bring wein
763,can i help,kann ich helfen
764,can i help,kann ich mich nutzlich machen
765,can i stay,kann ich bleiben
766,check that,prufe das nach
767,check that,prufen sie das nach
768,check this,uberprufen sie das
769,choose one,suche eines aus
770,come again,komm wieder
771,come again,kommt wieder
772,come again,kommen sie wieder
773,come alone,komm allein
774,come alone,kommen sie allein
775,come alone,kommt allein
776,come along,komm mit
777,come along,kommt mit
778,come early,kommen sie fruhzeitig
779,come early,komm fruhzeitig
780,come on in,komm rein
781,come on in,komm herein
782,did tom go,ist tom gegangen
783,do men cry,weinen manner
784,dont come,komm nicht
785,dont look,nicht gucken
786,dont move,bewegt euch nicht
787,dont move,nicht bewegen
788,dont peek,nicht gucken
789,dont sing,sing nicht
790,dont talk,nicht reden
791,dont talk,sag nichts
792,dont wait,warte nicht
793,dont wait,wartet nicht
794,dont wait,warten sie nicht
795,duty calls,die pflicht ruft
796,eat slowly,iss langsam
797,examine it,untersuchen sie es
798,fill it up,volltanken
799,find a job,such dir einen job
800,find a job,besorgt euch einen job
801,find a job,suchen sie sich arbeit
802,fire burns,feuer brennt
803,follow tom,folge tom
804,follow tom,folgen sie tom
805,follow tom,folgt tom
806,follow him,folge ihm
807,forget tom,vergiss tom
808,forget him,vergessen sie ihn
809,forgive us,vergib uns
810,give it up,gib es auf
811,go to work,geh arbeiten
812,go to work,gehe arbeiten
813,god exists,gott existiert
814,good night,gute nacht
815,he coughed,er hustete
816,he gave in,er gab auf
817,he gave up,er gab auf
818,he got a d,er bekam ein ausreichend
819,he got a d,er bekam eine vier
820,he hung up,er legte auf
821,he hung up,er hat aufgelegt
822,he is a dj,er ist ein dj
823,he is a dj,er ist dj
824,he is here,er ist hier
825,he is kind,er ist freundlich
826,he is kind,er ist liebenswurdig
827,he is mean,er ist gemein
828,he is mean,er ist fies
829,he is poor,er ist arm
830,he is sick,er ist krank
831,he is tall,er ist gro
832,he laughed,er lachte
833,he made it,er schaffte es
834,hes swiss,er ist schweizer
835,hes cruel,er ist grausam
836,hes lying,er lugt
837,hes smart,er ist klug
838,hello tom,hallo tom
839,here he is,er ist hier
840,here we go,los gehts
841,how absurd,wie absurd
842,how boring,wie langweilig
843,how clever,wie schlau
844,how clever,wie geschickt
845,how clever,wie klug
846,how lovely,wie nett
847,how tragic,wie tragisch
848,how was it,wir war es
849,hurry home,geh schnell nach hause
850,hurry home,gehen sie schnell nach hause
851,i admit it,ich geb es zu
852,i am a boy,ich bin ein junge
853,i am a man,ich bin ein mann
854,i am a man,ich bin ein mensch
855,i am bored,mir ist langweilig
856,i am happy,ich bin glucklich
857,i am happy,ich bin froh
858,i am human,ich bin menschlich
859,i am ready,ich bin bereit
860,i am ready,ich bin fertig
861,i am ready,ich bin soweit
862,i am right,ich habe recht
863,i am right,ich habe recht
864,i am tired,ich bin mude
865,i can sing,ich kann singen
866,i can swim,ich kann schwimmen
867,i can wait,ich kann warten
868,i cant go,ich kann nicht gehen
869,i eat here,ich esse hier
870,i envy tom,ich beneide tom
871,i envy her,ich beneide sie
872,i envy him,ich beneide ihn
873,i feel old,ich fuhle mich alt
874,i found it,ich habe es gefunden
875,i found it,ich habe ihn gefunden
876,i got an a,ich habe eine eins bekommen
877,i hate tom,ich hasse tom
878,i hear you,ich hore dich
879,i hear you,ich wei was ihr meint
880,i hear you,ich wei was sie meinen
881,i hear you,ich verstehe was ihr sagt
882,i hear you,ich verstehe was sie sagen
883,i heard it,ich habe es gehort
884,i heard it,ich habe es vernommen
885,i hope not,ich hoffe nicht
886,i know her,ich kenne sie
887,i know you,ich kenne dich
888,i like him,ich mag ihn
889,i like tea,ich mag tee
890,i like you,du gefallst mir
891,i like you,ich mag dich
892,i love tom,ich liebe tom
893,i love her,ich liebe sie
894,i love him,ich liebe ihn
895,i love you,ich liebe sie
896,i love you,ich liebe dich
897,i love you,ich liebe euch
898,i love you,ich liebe dich
899,i miss you,ich vermisse dich
900,i miss you,ich vermisse sie
901,i miss you,ich vermisse euch
902,i miss you,du fehlst mir
903,i need ice,ich brauche eis
904,i need you,ich brauche dich
905,i need you,ich brauche sie
906,i need you,ich brauche euch
907,i panicked,ich geriet in panik
908,i promised,ich habe es versprochen
909,i remember,ich erinnere mich
910,i resigned,ich bin zuruckgetreten
911,i resigned,ich trat zuruck
912,i sat down,ich setzte mich
913,i saw that,das habe ich gesehen
914,i saw them,ich habe sie gesehen
915,i survived,ich habe uberlebt
916,i survived,ich uberlebte
917,i think so,ich stimme dem zu
918,i threw up,ich habe gekotzt
919,i threw up,ich habe mich ubergeben
920,i threw up,ich habe erbrochen
921,i want one,ich will einen
922,i want one,ich will eins
923,i want one,ich will eine
924,i want you,ich will dich
925,i want you,ich will dich
926,i was busy,ich war beschaftigt
927,i was good,ich war gut
928,i was rude,ich war ruppig
929,i was sick,ich war krank
930,i wont go,ich werde nicht gehen
931,ill do it,ich werde es tun
932,ill start,ich werde anfangen
933,im french,ich bin aus frankreich
934,im korean,ich bin koreaner
935,im a hero,ich bin ein held
936,im afraid,ich habe angst
937,im anemic,ich habe blutarmut
938,im better,ich bin besser
939,im coming,ich komme
940,im coming,ich bin gleich da
941,im eating,ich esse gerade
942,im eating,ich esse
943,im eating,ich bin dabei zu essen
944,im famous,ich bin beruhmt
945,im hiding,ich verstecke mich
946,im hiding,ich verstecke mich gerade
947,im hungry,ich bin hungrig
948,im hungry,ich bin hungrig
949,im hungry,ich habe hunger
950,im in bed,ich bin im bett
951,im lonely,ich bin einsam
952,im losing,ich bin am verlieren
953,im losing,ich bin dabei zu verlieren
954,im losing,ich verliere
955,im ruined,ich bin ruiniert
956,im scared,ich habe angst
957,im sleepy,ich bin mude
958,im so fat,ich bin so dick
959,im so fat,ich bin so fett
960,ive eaten,ich habe gegessen
961,ive tried,ich habe es versucht
962,ignore tom,ignorier tom
963,is tom ill,ist tom krank
964,is he dead,ist er tot
965,is he tall,ist er gro
966,is it free,ist es kostenlos
967,is it love,ist das liebe
968,is that it,ist es das
969,is this it,ist es das
970,it happens,das passiert
971,it is,es ist uhr
972,it matters,das ist wichtig
973,it matters,das tut was zur sache
974,its toms,das gehort tom
975,its a bet,es ist eine wette
976,its a fad,das ist eine modeerscheinung
977,its a fad,das ist eine vorubergehende laune
978,its alive,es lebt
979,its bulky,es ist sperrig
980,its bulky,es ist unhandlich
981,its clear,es ist klar
982,its early,es ist fruh
983,its green,das ist grun
984,its my cd,das ist meine cd
985,its night,es ist nacht
986,its on me,das geht auf meine rechnung
987,its white,es ist wei
988,its windy,es ist windig
989,just do it,mach es doch
990,just relax,entspann dich einfach
991,keep it up,nicht nachlassen
992,keep it up,nicht nachlassen
993,keep quiet,bleibt ruhig
994,leave town,verlassen sie die stadt
995,let me die,lass mich sterben
996,let me out,lass mich raus
997,let me pay,lass mich zahlen
998,let me pay,lass mich zahlen
999,let me see,lass mich sehen
1000,let me see,lassen sie mich sehen
1001,let me see,lasst mich sehen
1002,let me see,lassen sie mich mal sehen
1003,let me try,lass mich versuchen
1004,let me try,lass mich mal probieren
1005,let us out,lass uns heraus
1006,let us out,lassen sie uns heraus
1007,lets pray,lasset uns beten
1008,lets talk,lass uns reden
1009,look again,schau nochmal hin
1010,look ahead,schau nach vorne
1011,look ahead,schauen sie nach vorne
1012,look ahead,schaut nach vorne
1013,look ahead,seien sie vorausschauend
1014,look at me,sieh mich an
1015,look it up,schlag es nach
1016,look there,sieh dort
1017,love hurts,liebe tut weh
1018,love lasts,die liebe bleibt
1019,mama cried,mama weinte
1020,never mind,mach dir nichts draus
1021,no comment,kein kommentar
1022,no kidding,wirklich
1023,no kidding,echt
